"","District","Income Stream","Cohort","Year","Amount","Status"
"806","Mit","Season1 Value","2021","Year 2","233.081412","RTV"
"807","Rubanda","Season1 Value","2021","Year 2","354.29375800000003","RTV"
"808","Kisoro","Season1 Value","2018","Year 2","232.85","RTV"
"809","Kanungu","Season1 Value","2018","Year 2","195.46","RTV"
"810","Kisoro","Season1 Value","2019","Year 2","459.87","RTV"
"811","Kanu","Season1 Value","2019","Year 2","297.82","RTV"
"812","Ruk","Season1 Value","2019","Year 2","291.23","RTV"
"813","Kisoro","Season1 Value","2020","Year 2","349.08902319999999","RTV"
"814","Kanu","Season1 Value","2020","Year 2","314.94618100000002","RTV"
"815","Ruk","Season1 Value","2020","Year 2","301.16899799999999","RTV"
"816","Mitooma","Season1 Value","2020","Year 2","264.45909899999998","RTV"
"817","Kagadi","Season1 Value","2020","Year 2","376.32911944","RTV"
"818","Kisoro","Season1 Value","2018","Year 2","291.52","RTV"
"819","Kanungu","Season1 Value","2018","Year 2","251.09","RTV"
"820","Kisoro","Season1 Value","2019","Year 2","496.13","RTV"
"821","Kanu","Season1 Value","2019","Year 2","359.03","RTV"
"822","Ruk","Season1 Value","2019","Year 2","354.25","RTV"
"823","Kisoro","Season1 Value","2018","Year 2",NA,"RTV"
"824","Kanungu","Season1 Value","2018","Year 2",NA,"RTV"
"825","Kisoro","Season2 Value","2018","Year 2","97.28","RTV"
"826","Kanungu","Season2 Value","2018","Year 2","86.55","RTV"
"827","Kisoro","Season2 Value","2019","Year 2","114.86","RTV"
"828","Kanu","Season2 Value","2019","Year 2","71.959999999999994","RTV"
"829","Ruk","Season2 Value","2019","Year 2","51.66","RTV"
"830","Kisoro","Season2 Value","2020","Year 2","83.48","RTV"
"831","Kanu","Season2 Value","2020","Year 2","79.040000000000006","RTV"
"832","Ruk","Season2 Value","2020","Year 2","71.510000000000005","RTV"
"833","Mit","Season2 Value","2020","Year 2","35.729999999999997","RTV"
"834","Kag","Season2 Value","2020","Year 2","104.92","RTV"
"835","Kanu","Season2 Value","2021","Year 2","28.09","RTV"
"836","Ruk","Season2 Value","2021","Year 2","71.47","RTV"
"837","Mit","Season2 Value","2021","Year 2","51.48","RTV"
"838","Rubanda","Season2 Value","2021","Year 2","98.67","RTV"
"839","Kanungu","Season2 Value","2022","Year 2","57.49","RTV"
"840","Rukungiri","Season2 Value","2022","Year 2","40.89","RTV"
"841","Mitooma","Season2 Value","2022","Year 2","39.270000000000003","RTV"
"842","Rubanda","Season2 Value","2022","Year 2","111.64","RTV"
"843","Rubirizi","Season2 Value","2022","Year 2","63.44","RTV"
"844","Kyenjojo","Season2 Value","2022","Year 2","79.23","RTV"
"845","Kagadi GAC","Season2 Value","2022","Year 2","85.99","RTV"
"846","Kagadi NonGAC","Season2 Value","2022","Year 2","67.33","RTV"
"847","Kaliro","Season2 Value","2022","Year 2","40.32","RTV"
"848","Kisoro","Season2 Value","2022","Year 2",NA,"RTV"
"849","Kisoro","Season2 Value","2018","Year 2","143.06","RTV"
"850","Kanungu","Season2 Value","2018","Year 2","113.89","RTV"
"851","Kisoro","Season2 Value","2019","Year 2","201.43","RTV"
"852","Kanu","Season2 Value","2019","Year 2","124.18","RTV"
"853","Ruk","Season2 Value","2019","Year 2","134.33000000000001","RTV"
"854","Kisoro","Season2 Value","2020","Year 2","222.61","RTV"
"855","Kanu","Season2 Value","2020","Year 2","189.34","RTV"
"856","Ruk","Season2 Value","2020","Year 2","155.55000000000001","RTV"
"857","Mitooma","Season2 Value","2020","Year 2","60.57","RTV"
"858","Kagadi","Season2 Value","2020","Year 2","186.2","RTV"
"859","Kanu","Season2 Value","2021","Year 2","117.04","RTV"
"860","Ruk","Season2 Value","2021","Year 2","115.57","RTV"
"861","Mit","Season2 Value","2021","Year 2","84.38","RTV"
"862","Rubanda","Season2 Value","2021","Year 2","104.77","RTV"
"863","Kanungu","Season2 Value","2022","Year 2","121.24","RTV"
"864","Rukungiri","Season2 Value","2022","Year 2","166.97","RTV"
"865","Mitooma","Season2 Value","2022","Year 2","112.5","RTV"
"866","Rubanda","Season2 Value","2022","Year 2","197.05","RTV"
"867","Rubirizi","Season2 Value","2022","Year 2","161.04","RTV"
"868","Kyenjojo","Season2 Value","2022","Year 2","161.38","RTV"
"869","Kagadi GAC","Season2 Value","2022","Year 2","195.44","RTV"
"870","Kagadi NonGAC","Season2 Value","2022","Year 2","161.80000000000001","RTV"
"871","Kaliro","Season2 Value","2022","Year 2","120.79","RTV"
"872","Kisoro","Season2 Value","2022","Year 2",NA,"RTV"
"873","Kisoro","Season2 Value","2018","Year 2","148.99","RTV"
"874","Kanungu","Season2 Value","2018","Year 2","116.91","RTV"
"875","Kisoro","Season2 Value","2019","Year 2","270.39999999999998","RTV"
"876","Kanu","Season2 Value","2019","Year 2","189.87","RTV"
"877","Ruk","Season2 Value","2019","Year 2","205.36","RTV"
"878","Kisoro","Season2 Value","2020","Year 2","187.15","RTV"
"879","Kanu","Season2 Value","2020","Year 2","184.69","RTV"
"880","Ruk","Season2 Value","2020","Year 2","171.14","RTV"
"881","Mitooma","Season2 Value","2020","Year 2","87.88","RTV"
"882","Kagadi","Season2 Value","2020","Year 2","182.92","RTV"
"883","Kanu","Season2 Value","2021","Year 2","174.45","RTV"
"884","Ruk","Season2 Value","2021","Year 2","149.49","RTV"
"885","Mit","Season2 Value","2021","Year 2","114.5","RTV"
"886","Rubanda","Season2 Value","2021","Year 2","264.45","RTV"
"887","Kanungu","Season2 Value","2022","Year 2","198.03","RTV"
"888","Rukungiri","Season2 Value","2022","Year 2","183.38","RTV"
"889","Mitooma","Season2 Value","2022","Year 2","130.58000000000001","RTV"
"890","Rubanda","Season2 Value","2022","Year 2","279.43","RTV"
"891","Rubirizi","Season2 Value","2022","Year 2","200.09","RTV"
"892","Kyenjojo","Season2 Value","2022","Year 2","250.08","RTV"
"893","Kagadi GAC","Season2 Value","2022","Year 2","269.39","RTV"
"894","Kagadi NonGAC","Season2 Value","2022","Year 2","262.66000000000003","RTV"
"895","Kaliro","Season2 Value","2022","Year 2","180.18","RTV"
"896","Kisoro","Season2 Value","2022","Year 2",NA,"RTV"
"897","Kisoro","Season2 Value","2018","Year 2","160.62","RTV"
"898","Kanungu","Season2 Value","2018","Year 2","146.69","RTV"
"899","Kisoro","Season2 Value","2019","Year 2","284.3","RTV"
"900","Kanu","Season2 Value","2019","Year 2","147.86000000000001","RTV"
"901","Ruk","Season2 Value","2019","Year 2","208.63","RTV"
"902","Kisoro","Season2 Value","2020","Year 2","269.27999999999997","RTV"
"903","Kanu","Season2 Value","2020","Year 2","244.16","RTV"
"904","Ruk","Season2 Value","2020","Year 2","265.10000000000002","RTV"
"905","Mitooma","Season2 Value","2020","Year 2","169.71","RTV"
"906","Kagadi","Season2 Value","2020","Year 2","262.31","RTV"
"907","Kanu","Season2 Value","2021","Year 2","249.3295","RTV"
"908","Ruk","Season2 Value","2021","Year 2","223.96912714999999","RTV"
"909","Mit","Season2 Value","2021","Year 2","191.41162370000001","RTV"
"910","Rubanda","Season2 Value","2021","Year 2","297.18057099999999","RTV"
"911","Kisoro","Season2 Value","2018","Year 2","210","RTV"
"912","Kanungu","Season2 Value","2018","Year 2","158.08000000000001","RTV"
"913","Kisoro","Season2 Value","2019","Year 2","316.92","RTV"
"914","Kanu","Season2 Value","2019","Year 2","223.39","RTV"
"915","Ruk","Season2 Value","2019","Year 2","229.46","RTV"
"916","Kisoro","Season2 Value","2020","Year 2","335.33428170000002","RTV"
"917","Kanu","Season2 Value","2020","Year 2","251.17109099999999","RTV"
"918","Ruk","Season2 Value","2020","Year 2","275.06801899999999","RTV"
"919","Mitooma","Season2 Value","2020","Year 2","258.864036","RTV"
"920","Kagadi","Season2 Value","2020","Year 2","312.21755510999998","RTV"
"921","Kisoro","Season2 Value","2018","Year 2","252.55","RTV"
"922","Kanungu","Season2 Value","2018","Year 2","203.44","RTV"
"923","Kisoro","Season2 Value","2019","Year 2","356.55","RTV"
"924","Kanu","Season2 Value","2019","Year 2","250","RTV"
"925","Ruk","Season2 Value","2019","Year 2","240.83","RTV"
"926","Kisoro","Season2 Value","2018","Year 2",NA,"RTV"
"927","Kanungu","Season2 Value","2018","Year 2",NA,"RTV"
"928","Kisoro","Perennial Value","2018","Year 2","0","RTV"
"929","Kanungu","Perennial Value","2018","Year 2","55.78","RTV"
"930","Kisoro","Perennial Value","2019","Year 2","4.38","RTV"
"931","Kanu","Perennial Value","2019","Year 2","95.46","RTV"
"932","Ruk","Perennial Value","2019","Year 2","168.23","RTV"
"933","Kisoro","Perennial Value","2020","Year 2","51.43","RTV"
"934","Kanu","Perennial Value","2020","Year 2","79.41","RTV"
"935","Ruk","Perennial Value","2020","Year 2","94.7","RTV"
"936","Mit","Perennial Value","2020","Year 2","147.85","RTV"
"937","Kag","Perennial Value","2020","Year 2","61.8","RTV"
"938","Kanu","Perennial Value","2021","Year 2","62.1","RTV"
"939","Ruk","Perennial Value","2021","Year 2","152.99","RTV"
"940","Mit","Perennial Value","2021","Year 2","72.430000000000007","RTV"
"941","Rubanda","Perennial Value","2021","Year 2","15.17","RTV"
"942","Kanungu","Perennial Value","2022","Year 2","120.7","RTV"
"943","Rukungiri","Perennial Value","2022","Year 2","99.38","RTV"
"944","Mitooma","Perennial Value","2022","Year 2","139.94","RTV"
"945","Rubanda","Perennial Value","2022","Year 2","39.79","RTV"
"946","Rubirizi","Perennial Value","2022","Year 2","158.16","RTV"
"947","Kyenjojo","Perennial Value","2022","Year 2","40.08","RTV"
"948","Kagadi GAC","Perennial Value","2022","Year 2","37.29","RTV"
"949","Kagadi NonGAC","Perennial Value","2022","Year 2","53.23","RTV"
"950","Kaliro","Perennial Value","2022","Year 2","15.78","RTV"
"951","Kisoro","Perennial Value","2022","Year 2",NA,"RTV"
"952","Kisoro","Perennial Value","2018","Year 2","85.49","RTV"
"953","Kanungu","Perennial Value","2018","Year 2","155.54","RTV"
"954","Kisoro","Perennial Value","2019","Year 2","66.61","RTV"
"955","Kanu","Perennial Value","2019","Year 2","211.9","RTV"
"956","Ruk","Perennial Value","2019","Year 2","163.4","RTV"
"957","Kisoro","Perennial Value","2020","Year 2","129.29","RTV"
"958","Kanu","Perennial Value","2020","Year 2","186.32","RTV"
"959","Ruk","Perennial Value","2020","Year 2","157.49","RTV"
"960","Mitooma","Perennial Value","2020","Year 2","356.56","RTV"
"961","Kagadi","Perennial Value","2020","Year 2","122.73","RTV"
"962","Kanu","Perennial Value","2021","Year 2","266.56","RTV"
"963","Ruk","Perennial Value","2021","Year 2","340.35","RTV"
"964","Mit","Perennial Value","2021","Year 2","270.07","RTV"
"965","Rubanda","Perennial Value","2021","Year 2","31.68","RTV"
"966","Kanungu","Perennial Value","2022","Year 2","252.4","RTV"
"967","Rukungiri","Perennial Value","2022","Year 2","217.61","RTV"
"968","Mitooma","Perennial Value","2022","Year 2","236.81","RTV"
"969","Rubanda","Perennial Value","2022","Year 2","184.57","RTV"
"970","Rubirizi","Perennial Value","2022","Year 2","253.81","RTV"
"971","Kyenjojo","Perennial Value","2022","Year 2","109.83","RTV"
"972","Kagadi GAC","Perennial Value","2022","Year 2","142.03","RTV"
"973","Kagadi NonGAC","Perennial Value","2022","Year 2","115.32","RTV"
"974","Kaliro","Perennial Value","2022","Year 2","21.67","RTV"
"975","Kisoro","Perennial Value","2022","Year 2",NA,"RTV"
"976","Kisoro","Perennial Value","2018","Year 2","141.94","RTV"
"977","Kanungu","Perennial Value","2018","Year 2","148.75","RTV"
"978","Kisoro","Perennial Value","2019","Year 2","151.15","RTV"
"979","Kanu","Perennial Value","2019","Year 2","170.75","RTV"
"980","Ruk","Perennial Value","2019","Year 2","300.5","RTV"
"981","Kisoro","Perennial Value","2020","Year 2","181.91","RTV"
"982","Kanu","Perennial Value","2020","Year 2","263.10000000000002","RTV"
"983","Ruk","Perennial Value","2020","Year 2","223.63","RTV"
"984","Mitooma","Perennial Value","2020","Year 2","400.99","RTV"
"985","Kagadi","Perennial Value","2020","Year 2","120.27","RTV"
"986","Kanu","Perennial Value","2021","Year 2","406.03","RTV"
"987","Ruk","Perennial Value","2021","Year 2","384.19","RTV"
"988","Mit","Perennial Value","2021","Year 2","364.67","RTV"
"989","Rubanda","Perennial Value","2021","Year 2","70.180000000000007","RTV"
"990","Kanungu","Perennial Value","2022","Year 2","339.17","RTV"
"991","Rukungiri","Perennial Value","2022","Year 2","387.5","RTV"
"992","Mitooma","Perennial Value","2022","Year 2","357.99","RTV"
"993","Rubanda","Perennial Value","2022","Year 2","212.78","RTV"
"994","Rubirizi","Perennial Value","2022","Year 2","399.44","RTV"
"995","Kyenjojo","Perennial Value","2022","Year 2","169.75","RTV"
"996","Kagadi GAC","Perennial Value","2022","Year 2","182.11","RTV"
"997","Kagadi NonGAC","Perennial Value","2022","Year 2","209.15","RTV"
"998","Kaliro","Perennial Value","2022","Year 2","88.26","RTV"
"999","Kisoro","Perennial Value","2022","Year 2",NA,"RTV"
"1000","Kisoro","Perennial Value","2018","Year 2","199.53","RTV"
"1001","Kanungu","Perennial Value","2018","Year 2","196.03","RTV"
"1002","Kisoro","Perennial Value","2019","Year 2","176.07","RTV"
"1003","Kanu","Perennial Value","2019","Year 2","240.72","RTV"
"1004","Ruk","Perennial Value","2019","Year 2","332.53","RTV"
"1005","Kisoro","Perennial Value","2020","Year 2","270.27999999999997","RTV"
"1006","Kanu","Perennial Value","2020","Year 2","295.08","RTV"
"1007","Ruk","Perennial Value","2020","Year 2","385.93","RTV"
"1008","Mitooma","Perennial Value","2020","Year 2","445.95","RTV"
"1009","Kagadi","Perennial Value","2020","Year 2","212.45","RTV"
"1010","Kanu","Perennial Value","2021","Year 2","427.60525999999999","RTV"
"1011","Ruk","Perennial Value","2021","Year 2","410.58511814000002","RTV"
"1012","Mit","Perennial Value","2021","Year 2","397.98066870000002","RTV"
"1013","Rubanda","Perennial Value","2021","Year 2","133.73336","RTV"
"1014","Kisoro","Perennial Value","2018","Year 2","215.02","RTV"
"1015","Kanungu","Perennial Value","2018","Year 2","224.41","RTV"
"1016","Kisoro","Perennial Value","2019","Year 2","223.88","RTV"
"1017","Kanu","Perennial Value","2019","Year 2","271.92","RTV"
"1018","Ruk","Perennial Value","2019","Year 2","396.39","RTV"
"1019","Kisoro","Perennial Value","2020","Year 2","305.05689899999999","RTV"
"1020","Kanu","Perennial Value","2020","Year 2","396.94329499999998","RTV"
"1021","Ruk","Perennial Value","2020","Year 2","416.02721600000001","RTV"
"1022","Mitooma","Perennial Value","2020","Year 2","441.82706300000001","RTV"
"1023","Kagadi","Perennial Value","2020","Year 2","263.95889899000002","RTV"
"1024","Kisoro","Perennial Value","2018","Year 2","231.29","RTV"
"1025","Kanungu","Perennial Value","2018","Year 2","332.1","RTV"
"1026","Kisoro","Perennial Value","2019","Year 2","261.19","RTV"
"1027","Kanu","Perennial Value","2019","Year 2","342.01","RTV"
"1028","Ruk","Perennial Value","2019","Year 2","415.11","RTV"
"1029","Kisoro","Perennial Value","2018","Year 2",NA,"RTV"
"1030","Kanungu","Perennial Value","2018","Year 2",NA,"RTV"
"1031","Kisoro","Annual Agric Value","2018","Year 2","213.3","RTV"
"1032","Kanungu","Annual Agric Value","2018","Year 2","227.93","RTV"
"1033","Kisoro","Annual Agric Value","2019","Year 2","245.69","RTV"
"1034","Kanu","Annual Agric Value","2019","Year 2","244.8","RTV"
"1035","Ruk","Annual Agric Value","2019","Year 2","287.19","RTV"
"1036","Kisoro","Annual Agric Value","2020","Year 2","232.58","RTV"
"1037","Kanu","Annual Agric Value","2020","Year 2","208.66","RTV"
"1038","Ruk","Annual Agric Value","2020","Year 2","211.14","RTV"
"1039","Mit","Annual Agric Value","2020","Year 2","227.73","RTV"
"1040","Kag","Annual Agric Value","2020","Year 2","298.19","RTV"
"1041","Kanu","Annual Agric Value","2021","Year 2","167.07","RTV"
"1042","Ruk","Annual Agric Value","2021","Year 2","307.35000000000002","RTV"
"1043","Mit","Annual Agric Value","2021","Year 2","194.48","RTV"
"1044","Rubanda","Annual Agric Value","2021","Year 2","234.08","RTV"
"1045","Kanungu","Annual Agric Value","2022","Year 2","245.77","RTV"
"1046","Rukungiri","Annual Agric Value","2022","Year 2","189.5","RTV"
"1047","Mitooma","Annual Agric Value","2022","Year 2","225.4","RTV"
"1048","Rubanda","Annual Agric Value","2022","Year 2","271.93","RTV"
"1049","Rubirizi","Annual Agric Value","2022","Year 2","285.79000000000002","RTV"
"1050","Kyenjojo","Annual Agric Value","2022","Year 2","240.62","RTV"
"1051","Kagadi GAC","Annual Agric Value","2022","Year 2","249.22","RTV"
"1052","Kagadi NonGAC","Annual Agric Value","2022","Year 2","199.5","RTV"
"1053","Kaliro","Annual Agric Value","2022","Year 2","163.1","RTV"
"1054","Kisoro","Annual Agric Value","2022","Year 2",NA,"RTV"
"1055","Kisoro","Annual Agric Value","2018","Year 2","384.72","RTV"
"1056","Kanungu","Annual Agric Value","2018","Year 2","372.32","RTV"
"1057","Kisoro","Annual Agric Value","2019","Year 2","438.55","RTV"
"1058","Kanu","Annual Agric Value","2019","Year 2","461.71","RTV"
"1059","Ruk","Annual Agric Value","2019","Year 2","450.94","RTV"
"1060","Kisoro","Annual Agric Value","2020","Year 2","638.39","RTV"
"1061","Kanu","Annual Agric Value","2020","Year 2","557.5","RTV"
"1062","Ruk","Annual Agric Value","2020","Year 2","486.1","RTV"
"1063","Mitooma","Annual Agric Value","2020","Year 2","517.12","RTV"
"1064","Kagadi","Annual Agric Value","2020","Year 2","525.41","RTV"
"1065","Kanu","Annual Agric Value","2021","Year 2","534.55999999999995","RTV"
"1066","Ruk","Annual Agric Value","2021","Year 2","560.37","RTV"
"1067","Mit","Annual Agric Value","2021","Year 2","433.55","RTV"
"1068","Rubanda","Annual Agric Value","2021","Year 2","284.02","RTV"
"1069","Kanungu","Annual Agric Value","2022","Year 2","307.10000000000002","RTV"
"1070","Rukungiri","Annual Agric Value","2022","Year 2","581.35","RTV"
"1071","Mitooma","Annual Agric Value","2022","Year 2","498.62","RTV"
"1072","Rubanda","Annual Agric Value","2022","Year 2","610.05999999999995","RTV"
"1073","Rubirizi","Annual Agric Value","2022","Year 2","579.62","RTV"
"1074","Kyenjojo","Annual Agric Value","2022","Year 2","488.45","RTV"
"1075","Kagadi GAC","Annual Agric Value","2022","Year 2","569.78","RTV"
"1076","Kagadi NonGAC","Annual Agric Value","2022","Year 2","474.68","RTV"
"1077","Kaliro","Annual Agric Value","2022","Year 2","283.77","RTV"
"1078","Kisoro","Annual Agric Value","2022","Year 2",NA,"RTV"
"1079","Kisoro","Annual Agric Value","2018","Year 2","451.99","RTV"
"1080","Kanungu","Annual Agric Value","2018","Year 2","392.6","RTV"
"1081","Kisoro","Annual Agric Value","2019","Year 3","740.56","RTV"
"1082","Kanu","Annual Agric Value","2019","Year 3","607.79999999999995","RTV"
"1083","Ruk","Annual Agric Value","2019","Year 3","724.95","RTV"
"1084","Kisoro","Annual Agric Value","2020","Year 3","603.80999999999995","RTV"
"1085","Kanu","Annual Agric Value","2020","Year 3","647.51","RTV"
"1086","Ruk","Annual Agric Value","2020","Year 3","574.88","RTV"
"1087","Mitooma","Annual Agric Value","2020","Year 3","588","RTV"
"1088","Kagadi","Annual Agric Value","2020","Year 3","547.65","RTV"
"1089","Kanu","Annual Agric Value","2021","Year 3","803.16","RTV"
"1090","Ruk","Annual Agric Value","2021","Year 3","715.02","RTV"
"1091","Mit","Annual Agric Value","2021","Year 3","648.49","RTV"
"1092","Rubanda","Annual Agric Value","2021","Year 3","630.35","RTV"
"1093","Kanungu","Annual Agric Value","2022","Year 3","760.55","RTV"
"1094","Rukungiri","Annual Agric Value","2022","Year 3","788.01","RTV"
"1095","Mitooma","Annual Agric Value","2022","Year 3","664.02","RTV"
"1096","Rubanda","Annual Agric Value","2022","Year 3","793.19","RTV"
"1097","Rubirizi","Annual Agric Value","2022","Year 3","822.14","RTV"
"1098","Kyenjojo","Annual Agric Value","2022","Year 3","706.06","RTV"
"1099","Kagadi GAC","Annual Agric Value","2022","Year 3","786.4","RTV"
"1100","Kagadi NonGAC","Annual Agric Value","2022","Year 3","768","RTV"
"1101","Kaliro","Annual Agric Value","2022","Year 3","506.48","RTV"
"1102","Kisoro","Annual Agric Value","2022","Year 3",NA,"RTV"
"1103","Kisoro","Annual Agric Value","2018","Year 3","550.74","RTV"
"1104","Kanungu","Annual Agric Value","2018","Year 3","525.32000000000005","RTV"
"1105","Kisoro","Annual Agric Value","2019","Year 3","834.24","RTV"
"1106","Kanu","Annual Agric Value","2019","Year 3","619.88","RTV"
"1107","Ruk","Annual Agric Value","2019","Year 3","773.7","RTV"
"1108","Kisoro","Annual Agric Value","2020","Year 3","827.89","RTV"
"1109","Kanu","Annual Agric Value","2020","Year 3","832.11","RTV"
"1110","Ruk","Annual Agric Value","2020","Year 3","887.09","RTV"
"1111","Mitooma","Annual Agric Value","2020","Year 3","785.35","RTV"
"1112","Kagadi","Annual Agric Value","2020","Year 3","833.55","RTV"
"1113","Kanu","Annual Agric Value","2021","Year 3","959.91381000000001","RTV"
"1114","Ruk","Annual Agric Value","2021","Year 3","861.30475522999996","RTV"
"1115","Mit","Annual Agric Value","2021","Year 3","822.47370450000005","RTV"
"1116","Rubanda","Annual Agric Value","2021","Year 3","785.20768999999996","RTV"
"1117","Kisoro","Annual Agric Value","2018","Year 3","657.87","RTV"
"1118","Kanungu","Annual Agric Value","2018","Year 3","577.95000000000005","RTV"
"1119","Kisoro","Annual Agric Value","2019","Year 3","1000.67","RTV"
"1120","Kanu","Annual Agric Value","2019","Year 3","793.13","RTV"
"1121","Ruk","Annual Agric Value","2019","Year 3","917.08","RTV"
"1122","Kisoro","Annual Agric Value","2020","Year 3","989.48020389999999","RTV"
"1123","Kanu","Annual Agric Value","2020","Year 3","963.06056599999999","RTV"
"1124","Ruk","Annual Agric Value","2020","Year 3","992.26423299999999","RTV"
"1125","Mitooma","Annual Agric Value","2020","Year 3","965.15019800000005","RTV"
"1126","Kagadi","Annual Agric Value","2020","Year 3","952.50557355000001","RTV"
"1127","Kisoro","Annual Agric Value","2018","Year 3","775.35","RTV"
"1128","Kanungu","Annual Agric Value","2018","Year 3","786.63","RTV"
"1129","Kisoro","Annual Agric Value","2019","Year 3","1113.8699999999999","RTV"
"1130","Kanu","Annual Agric Value","2019","Year 3","951.03","RTV"
"1131","Ruk","Annual Agric Value","2019","Year 3","1010.2","RTV"
"1132","Kisoro","Annual Agric Value","2018","Year 3",NA,"RTV"
"1133","Kanungu","Annual Agric Value","2018","Year 3",NA,"RTV"
"1134","Kisoro","Livestock Income","2018","Year 3","31.52","RTV"
"1135","Kanungu","Livestock Income","2018","Year 3","31.17","RTV"
"1136","Kisoro","Livestock Income","2019","Year 3","23.2","RTV"
"1137","Kanu","Livestock Income","2019","Year 3","22","RTV"
"1138","Ruk","Livestock Income","2019","Year 3","19.420000000000002","RTV"
"1139","Kisoro","Livestock Income","2020","Year 3","10.26","RTV"
"1140","Kanu","Livestock Income","2020","Year 3","15.31","RTV"
"1141","Ruk","Livestock Income","2020","Year 3","12.65","RTV"
"1142","Mit","Livestock Income","2020","Year 3","21.67","RTV"
"1143","Kag","Livestock Income","2020","Year 3","7.44","RTV"
"1144","Kanu","Livestock Income","2021","Year 3","9.76","RTV"
"1145","Ruk","Livestock Income","2021","Year 3","17.75","RTV"
"1146","Mit","Livestock Income","2021","Year 3","14.95","RTV"
"1147","Rubanda","Livestock Income","2021","Year 3","9.9499999999999993","RTV"
"1148","Kanungu","Livestock Income","2022","Year 3","18.63","RTV"
"1149","Rukungiri","Livestock Income","2022","Year 3","9.68","RTV"
"1150","Mitooma","Livestock Income","2022","Year 3","11.88","RTV"
"1151","Rubanda","Livestock Income","2022","Year 3","11.68","RTV"
"1152","Rubirizi","Livestock Income","2022","Year 3","6.71","RTV"
"1153","Kyenjojo","Livestock Income","2022","Year 3","12.05","RTV"
"1154","Kagadi GAC","Livestock Income","2022","Year 3","15.67","RTV"
"1155","Kagadi NonGAC","Livestock Income","2022","Year 3","9.9600000000000009","RTV"
"1156","Kaliro","Livestock Income","2022","Year 3","4.84","RTV"
"1157","Kisoro","Livestock Income","2022","Year 3",NA,"RTV"
"1158","Kisoro","Livestock Income","2018","Year 3","34.25","RTV"
"1159","Kanungu","Livestock Income","2018","Year 3","61.92","RTV"
"1160","Kisoro","Livestock Income","2019","Year 3","43.06","RTV"
"1161","Kanu","Livestock Income","2019","Year 3","28.97","RTV"
"1162","Ruk","Livestock Income","2019","Year 3","32.71","RTV"
"1163","Kisoro","Livestock Income","2020","Year 3","21.71","RTV"
"1164","Kanu","Livestock Income","2020","Year 3","20.78","RTV"
"1165","Ruk","Livestock Income","2020","Year 3","16.2","RTV"
"1166","Mitooma","Livestock Income","2020","Year 3","20.260000000000002","RTV"
"1167","Kagadi","Livestock Income","2020","Year 3","19.97","RTV"
"1168","Kanu","Livestock Income","2021","Year 3","24.68","RTV"
"1169","Ruk","Livestock Income","2021","Year 3","12.23","RTV"
"1170","Mit","Livestock Income","2021","Year 3","16.239999999999998","RTV"
"1171","Rubanda","Livestock Income","2021","Year 3","18.97","RTV"
"1172","Kanungu","Livestock Income","2022","Year 3","25.02","RTV"
"1173","Rukungiri","Livestock Income","2022","Year 3","22","RTV"
"1174","Mitooma","Livestock Income","2022","Year 3","21.97","RTV"
"1175","Rubanda","Livestock Income","2022","Year 3","29.1","RTV"
"1176","Rubirizi","Livestock Income","2022","Year 3","11.41","RTV"
"1177","Kyenjojo","Livestock Income","2022","Year 3","35.119999999999997","RTV"
"1178","Kagadi GAC","Livestock Income","2022","Year 3","28.52","RTV"
"1179","Kagadi NonGAC","Livestock Income","2022","Year 3","24.22","RTV"
"1180","Kaliro","Livestock Income","2022","Year 3","36.33","RTV"
"1181","Kisoro","Livestock Income","2022","Year 3",NA,"RTV"
"1182","Kisoro","Livestock Income","2018","Year 3","48.01","RTV"
"1183","Kanungu","Livestock Income","2018","Year 3","31.58","RTV"
"1184","Kisoro","Livestock Income","2019","Year 3","45.95","RTV"
"1185","Kanu","Livestock Income","2019","Year 3","29.55","RTV"
"1186","Ruk","Livestock Income","2019","Year 3","24.17","RTV"
"1187","Kisoro","Livestock Income","2020","Year 3","38.11","RTV"
"1188","Kanu","Livestock Income","2020","Year 3","32.83","RTV"
"1189","Ruk","Livestock Income","2020","Year 3","21.45","RTV"
"1190","Mitooma","Livestock Income","2020","Year 3","25.9","RTV"
"1191","Kagadi","Livestock Income","2020","Year 3","37.69","RTV"
"1192","Kanu","Livestock Income","2021","Year 3","29.3","RTV"
"1193","Ruk","Livestock Income","2021","Year 3","21.77","RTV"
"1194","Mit","Livestock Income","2021","Year 3","19.82","RTV"
"1195","Rubanda","Livestock Income","2021","Year 3","51.72","RTV"
"1196","Kanungu","Livestock Income","2022","Year 3","30.85","RTV"
"1197","Rukungiri","Livestock Income","2022","Year 3","22.37","RTV"
"1198","Mitooma","Livestock Income","2022","Year 3","52.38","RTV"
"1199","Rubanda","Livestock Income","2022","Year 3","27.86","RTV"
"1200","Rubirizi","Livestock Income","2022","Year 3","29.82","RTV"
"1201","Kyenjojo","Livestock Income","2022","Year 3","58.45","RTV"
"1202","Kagadi GAC","Livestock Income","2022","Year 3","39.61","RTV"
"1203","Kagadi NonGAC","Livestock Income","2022","Year 3","31.05","RTV"
"1204","Kaliro","Livestock Income","2022","Year 3","74.34","RTV"
"1205","Kisoro","Livestock Income","2022","Year 3",NA,"RTV"
"1206","Kisoro","Livestock Income","2018","Year 3","46.95","RTV"
"1207","Kanungu","Livestock Income","2018","Year 3","42.44","RTV"
"1208","Kisoro","Livestock Income","2019","Year 3","36.67","RTV"
